id,name,zip_code,id_county
1282,Hévízgyörk,2192,7
1283,Hidas,7696,3
1284,Hidasnémeti,3876,5
1285,Hidegkút,8247,8
1286,Hidegség,9491,6
1287,Hidvégardó,3768,5
1288,Himesháza,7735,3
1289,Himod,9362,6
1290,Hirics,7838,3
1291,Hobol,7971,3
1292,Hodász,4334,13
1293,Hódmezővásárhely,6806,14
1294,Hódmezővásárhely,6800,14
1295,Hőgyész,7191,11
1296,Hollád,8731,5
1297,Hollóháza,3999,19
1298,Hollókő,3176,8
1299,Homokbödöge,8563,15
1300,Homokkomárom,8777,12
1301,Homokmégy,6341,11
1302,Homokszentgyörgy,7537,3
1303,Homorúd,7716,5
1304,Homrogd,3812,19
1305,Hont,2647,19
1306,Horpács,2658,4
1307,Hort,3014,17
1308,Hortobágy,4071,3
1309,Horváthertelend,7935,10
1310,Horvátlövő,9796,10
1311,Horvátzsidány,9733,3
1312,Hosszúhetény,7694,17
1313,Hosszúpályi,4274,10
1314,Hosszúpereszteg,9676,11
1315,Hosszúvíz,8716,15
1316,Hosszúvölgy,8777,8
1317,Hosztót,8475,15
1318,Hottó,8991,18
1319,Hövej,9361,6
1320,Hugyag,2672,19
1321,Hunya,5555,16
1322,Hunyadfalva,5063,2
1323,Husztót,7678,3
1324,Ibafa,7935,3
1325,Iborfia,8984,15
1326,Ibrány,4484,13
1327,Igal,7275,11
1328,Igar,7016,1
1329,Igar,7015,1
1330,Igrici,3459,5
1331,Iharos,8726,11
1332,Iharosberény,8725,11
1333,Ikervár,9756,10
1334,Iklad,2181,7
1335,Iklanberény,9634,10
1336,Iklódbördőce,8958,15
1337,Ikrény,9141,6
1338,Iliny,2675,19
1339,Ilk,4566,13
1340,Illocska,7775,3
1341,Imola,3724,5
1342,Imrehegy,6238,12
1343,Ináncs,3851,5
1344,Inárcs,2365,7
1345,Inke,8724,11
1346,Ipacsfa,7847,3
1347,Ipolydamásd,2631,7
1348,Ipolytarnóc,3138,19
1349,Ipolytölgyes,2633,7
1350,Ipolyvece,2669,19
1351,Iregszemcse,7095,18
1352,Irota,3786,5
1353,Isaszeg,2117,7
1354,Ispánk,9941,10
1355,Istenmezeje,3253,4
1356,Istvándi,7987,11
1357,Iszkaszentgyörgy,8043,1
1358,Iszkáz,8493,8
1359,Isztimér,8045,1
1360,Ivád,3248,4
1361,Iván,9374,6
1362,Ivánbattyán,7772,3
1363,Ivánc,9931,10
1364,Iváncsa,2454,1
1365,Ivándárda,7781,3
1366,Izmény,7353,18
1367,Izsák,6070,12
1368,Izsófalva,3741,5
1369,Jágónak,7362,18
1370,Ják,9798,10
1371,Jakabszállás,6078,12
1372,Jákfa,9643,10
1373,Jákfalva,3721,5
1374,Jákó,7525,11
1375,Jánd,4841,13
1376,Jánkmajtis,4741,13
1377,Jánoshalma,6440,12
1378,Jánosháza,9545,10
1379,Jánoshida,5143,2
